FILENAME,GMATCHES,GRADELTA,GRASIGMA,GDEDELTA,GDESIGMA
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0001_0000_2_clean.fits.fcat[CATALOG],77,-2.5927413389581E-05,3.91087719514087E-05,-2.1979091897605E-05,4.02063103549833E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0002_0000_2_clean.fits.fcat[CATALOG],81,1.09278696527326E-05,3.17723474476168E-05,-2.0405948731649E-05,3.05296048433082E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0003_0000_2_clean.fits.fcat[CATALOG],89,-6.9011860944101E-05,4.01640185958311E-05,-3.6341664820582E-05,3.27642086637206E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0004_0000_2_clean.fits.fcat[CATALOG],90,1.06598288311943E-05,3.70020999446702E-05,-1.8526119282213E-05,4.07638891406378E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0005_0000_2_clean.fits.fcat[CATALOG],84,-1.8898510177223E-05,3.74379319915074E-05,-1.8074199118700E-05,3.81003692735690E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0006_0000_2_clean.fits.fcat[CATALOG],85,-2.2299464490060E-05,3.80547387996859E-05,-3.2585943515073E-05,2.58816125630734E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0007_0000_2_clean.fits.fcat[CATALOG],87,4.51834631576275E-06,3.74523179036389E-05,-1.8359877564932E-05,3.64969588852053E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0008_0000_2_clean.fits.fcat[CATALOG],83,4.68364606831528E-06,3.71310144659952E-05,-4.4447177636186E-06,2.97666912167676E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0009_0000_2_clean.fits.fcat[CATALOG],83,-1.5030096562895E-05,5.36994215769179E-05,-4.0311264690728E-05,3.46419472353435E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0010_0000_2_clean.fits.fcat[CATALOG],73,-4.8071196374621E-06,4.26503024423903E-05,-6.3976419113487E-06,3.99686171774594E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0011_0000_2_clean.fits.fcat[CATALOG],69,-2.2750141965843E-06,2.84166347644757E-05,-2.0611417788529E-05,2.81561120786953E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0012_0000_2_clean.fits.fcat[CATALOG],81,2.95809064709828E-06,4.52842735503453E-05,-2.5194549792217E-05,3.95166639825020E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0001_0000_2_clean.fits.fcat[CATALOG],136,3.39649669456321E-05,4.41994230966873E-05,-1.2417477039505E-05,3.13673659417665E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0002_0000_2_clean.fits.fcat[CATALOG],139,5.60055673304304E-06,3.67155124249968E-05,-2.2839587664691E-05,3.75116302615986E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0003_0000_2_clean.fits.fcat[CATALOG],133,6.77715167967107E-05,4.01081860908410E-05,-1.1419040241378E-05,3.34121225021693E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0004_0000_2_clean.fits.fcat[CATALOG],130,4.35696323677348E-05,3.98033807792001E-05,-1.2672206599617E-05,3.29232998859682E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0005_0000_2_clean.fits.fcat[CATALOG],141,3.26223090496569E-05,4.07816788372697E-05,-2.0610164476408E-05,3.04821680234353E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0001_0000_2_clean.fits.fcat[CATALOG],131,1.99109726963797E-05,4.15687639477516E-05,-8.5875451460992E-06,2.92781543159068E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0002_0000_2_clean.fits.fcat[CATALOG],123,1.80569558665411E-05,3.78538424664722E-05,-4.2540727747564E-05,3.61287885993379E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0003_0000_2_clean.fits.fcat[CATALOG],144,7.03411138829324E-05,4.38781733956422E-05,-1.5492662971183E-05,3.86668388708422E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0004_0000_2_clean.fits.fcat[CATALOG],121,5.22140338148346E-05,4.34283000525034E-05,-5.5948553914220E-06,3.84696539808791E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0005_0000_2_clean.fits.fcat[CATALOG],126,3.99540049329516E-05,4.27549195724795E-05,-1.4912012483492E-05,3.49273047211418E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0001_0000_2_clean.fits.fcat[CATALOG],131,2.83045604874132E-05,3.33896496059301E-05,-2.8934531925983E-07,3.79766274627939E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0002_0000_2_clean.fits.fcat[CATALOG],142,2.18271638630085E-05,4.01763238133823E-05,-1.4760728630491E-05,3.47064984883065E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0003_0000_2_clean.fits.fcat[CATALOG],146,7.18643152879394E-05,4.28346964989993E-05,-7.8452291649711E-06,4.02686529610574E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0004_0000_2_clean.fits.fcat[CATALOG],135,4.85809333099496E-05,4.07849414209827E-05,-2.3797070060282E-05,3.75213998420035E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0005_0000_2_clean.fits.fcat[CATALOG],142,2.6192320433438E-05,4.48535026672928E-05,2.74805136335487E-06,4.26115342564506E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0001_0000_2_clean.fits.fcat[CATALOG],122,5.24396246248670E-05,3.66710997952296E-05,-4.3399281803857E-05,3.23312347934512E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0002_0000_2_clean.fits.fcat[CATALOG],134,3.97911117886451E-05,4.11213515322433E-05,-6.3188048571305E-05,3.04409040748333E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0003_0000_2_clean.fits.fcat[CATALOG],134,1.76285716122492E-05,3.32812478117341E-05,-4.5394337142568E-06,3.21807147904333E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0004_0000_2_clean.fits.fcat[CATALOG],139,3.38657372935813E-05,3.83367255247363E-05,-3.1419015506628E-05,3.20837919075820E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0005_0000_2_clean.fits.fcat[CATALOG],128,1.62280951485627E-05,4.08046591182438E-05,-2.5573028898051E-05,4.02142885839742E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0006_0000_2_clean.fits.fcat[CATALOG],138,-1.3035355209467E-05,4.02565272089708E-05,-6.7657168298040E-05,3.13697911606582E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0007_0000_2_clean.fits.fcat[CATALOG],129,3.86809512065156E-05,3.68905139541421E-05,7.19107810098762E-06,3.41701895623634E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0008_0000_2_clean.fits.fcat[CATALOG],141,4.86710110294552E-05,4.58716451437842E-05,-7.2854554936441E-05,3.62854945785725E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0009_0000_2_clean.fits.fcat[CATALOG],138,6.54317628061562E-05,3.69577576539087E-05,-5.2784849371434E-05,3.34852410627622E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0001_0000_2_clean.fits.fcat[CATALOG],136,1.45907997364247E-05,3.78336239580181E-05,-3.4008158687370E-05,3.48981835451225E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0002_0000_2_clean.fits.fcat[CATALOG],133,-2.1497249292679E-05,3.84193461612911E-05,-3.7200315894381E-05,3.81352896975635E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0003_0000_2_clean.fits.fcat[CATALOG],122,6.06918638652587E-05,4.24836168651962E-05,-2.9127604697976E-05,3.26296615953358E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0004_0000_2_clean.fits.fcat[CATALOG],131,3.10723874008545E-05,3.84049369362615E-05,-1.4929206685110E-05,3.42935393262800E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0005_0000_2_clean.fits.fcat[CATALOG],112,4.61060083409847E-05,3.66548177006768E-05,-3.3128922201086E-05,3.39666022163579E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0006_0000_2_clean.fits.fcat[CATALOG],131,7.71227223594905E-05,3.96246489230145E-05,-3.3078249906282E-05,3.09825325777114E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0007_0000_2_clean.fits.fcat[CATALOG],127,2.02063558276677E-05,2.89748954695148E-05,-2.2299192394825E-05,3.49077739714897E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0008_0000_2_clean.fits.fcat[CATALOG],130,2.86837790497429E-05,3.44293094553445E-05,-3.7716023451039E-05,3.27201286582049E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46439168/SPITZER_I2_46439168_0009_0000_2_clean.fits.fcat[CATALOG],145,-2.9246849067021E-06,4.30242350896029E-05,-4.2053346632542E-05,3.05010824475646E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0001_0000_2_clean.fits.fcat[CATALOG],128,5.89657294369772E-05,3.44120600914831E-05,-2.0655710450512E-05,3.39343319661040E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0002_0000_2_clean.fits.fcat[CATALOG],125,5.69992073451430E-05,3.3824650436815E-05,-3.1758687907057E-05,3.63911428882839E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0003_0000_2_clean.fits.fcat[CATALOG],142,4.77786443298100E-07,4.20808152338207E-05,-1.5537474489235E-06,3.12992363420003E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0004_0000_2_clean.fits.fcat[CATALOG],126,-3.4372820607586E-05,4.12861901548391E-05,-1.0131174207117E-05,3.03328260203360E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0005_0000_2_clean.fits.fcat[CATALOG],140,-1.6216533225588E-05,3.36458260453849E-05,9.26736642092862E-06,3.12716868008375E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0006_0000_2_clean.fits.fcat[CATALOG],128,4.85336020119575E-05,3.79220799509403E-05,-5.9181675057473E-05,3.09403157413991E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0007_0000_2_clean.fits.fcat[CATALOG],127,-4.4813404770138E-05,3.30233627675631E-05,5.21842230227775E-06,3.44961972396892E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0008_0000_2_clean.fits.fcat[CATALOG],132,-1.7807652739065E-06,2.45290055514843E-05,-5.5795183229179E-06,4.81503201937968E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651136/SPITZER_I2_46651136_0009_0000_2_clean.fits.fcat[CATALOG],129,3.66933109035017E-05,3.31405401138518E-05,-1.9607132443866E-05,3.62995900038836E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0001_0000_2_clean.fits.fcat[CATALOG],133,-1.6166335853995E-05,3.58308072457808E-05,-7.7648406460184E-06,3.22224854416599E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0002_0000_2_clean.fits.fcat[CATALOG],125,-4.1719392697814E-05,3.30086011627607E-05,-1.5687199475422E-05,3.58598384747562E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0003_0000_2_clean.fits.fcat[CATALOG],134,4.02577888962696E-05,3.77430592170825E-05,2.04912685397573E-06,3.45318166134405E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0004_0000_2_clean.fits.fcat[CATALOG],131,4.79473577570388E-05,3.44418442938795E-05,-2.8592361260848E-05,3.95047143801390E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0005_0000_2_clean.fits.fcat[CATALOG],134,2.96362227061308E-05,3.74551700728954E-05,-1.4964487506929E-05,3.53826323994840E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0006_0000_2_clean.fits.fcat[CATALOG],135,3.10458506760369E-05,3.91361140935042E-05,2.36078223991853E-06,3.31154693346073E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0007_0000_2_clean.fits.fcat[CATALOG],142,-2.8944761311322E-05,4.05746357577421E-05,-2.2212737494697E-05,3.16520906523854E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0008_0000_2_clean.fits.fcat[CATALOG],137,2.75394399977813E-05,3.50040127589191E-05,-1.3142606750449E-05,3.95120735564826E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46651648/SPITZER_I2_46651648_0009_0000_2_clean.fits.fcat[CATALOG],134,-2.4055205017248E-05,3.48677169400703E-05,-1.4776345679479E-05,3.62478134783067E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0001_0000_2_clean.fits.fcat[CATALOG],132,-1.0354010271385E-06,3.50280307851565E-05,-9.5871645342526E-06,3.09643142708692E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0002_0000_2_clean.fits.fcat[CATALOG],144,-1.0491748980712E-06,3.47364514399246E-05,-4.2122728558524E-06,3.64116504679820E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0003_0000_2_clean.fits.fcat[CATALOG],127,4.90765928020664E-05,4.21268653286745E-05,-1.7060307172300E-05,2.93062486255324E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0004_0000_2_clean.fits.fcat[CATALOG],135,6.97167357657235E-05,3.56392722683792E-05,-1.9536422371402E-05,3.21094093758643E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0005_0000_2_clean.fits.fcat[CATALOG],121,-8.2371155372129E-06,3.68560728923947E-05,-2.4906117985779E-06,2.91942079860883E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0006_0000_2_clean.fits.fcat[CATALOG],129,7.04759095242479E-05,3.53241468224427E-05,-3.6950290898118E-06,3.58890840443907E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0007_0000_2_clean.fits.fcat[CATALOG],115,-7.2477344019716E-06,4.16112044411914E-05,-3.0414608602313E-05,3.17158324438433E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0008_0000_2_clean.fits.fcat[CATALOG],128,1.93886360762007E-05,3.98002674169963E-05,-1.5395141526042E-05,3.25012217273263E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46652160/SPITZER_I2_46652160_0009_0000_2_clean.fits.fcat[CATALOG],141,2.06954499617495E-05,3.52817004507395E-05,-1.6808292205183E-05,3.71596200238919E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0001_0000_2_clean.fits.fcat[CATALOG],128,-2.3930020631723E-06,3.87354790130664E-05,-1.7287607024130E-05,3.62684015759929E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0002_0000_2_clean.fits.fcat[CATALOG],126,2.14893137524541E-05,3.55080047245362E-05,-2.1085377211349E-05,3.88002820101687E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0003_0000_2_clean.fits.fcat[CATALOG],134,4.29700378390407E-06,3.26355121411676E-05,-1.8597998270308E-06,3.88729109933199E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0004_0000_2_clean.fits.fcat[CATALOG],133,4.03449633950003E-05,3.93973588286153E-05,-6.8689023393631E-06,2.89530336651159E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0005_0000_2_clean.fits.fcat[CATALOG],126,-1.4911394401906E-05,4.10614185592351E-05,-2.0986346084939E-05,3.46928258838274E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0006_0000_2_clean.fits.fcat[CATALOG],143,2.95911074204013E-05,4.23800825259877E-05,-1.4691477517203E-05,3.95141076647715E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0007_0000_2_clean.fits.fcat[CATALOG],132,-9.2879682824786E-06,3.95141432688235E-05,5.83552794175545E-06,3.89284670151619E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46655232/SPITZER_I2_46655232_0008_0000_2_clean.fits.fcat[CATALOG],135,-4.4687123136100E-05,3.68760589039403E-05,-1.3545352153698E-05,3.31433741242253E-05
