offax_deg,focusx,focusy,planex,planey
0.0000,0.000000000,3.769999849,-0.000000000,3.770
0.0010,0.000066101,3.769999848,0.000066101,3.770
0.0020,0.000132203,3.769999845,0.000132203,3.770
0.0030,0.000198304,3.769999839,0.000198304,3.770
0.0040,0.000264405,3.769999831,0.000264405,3.770
0.0050,0.000330507,3.769999820,0.000330507,3.770
0.0060,0.000396608,3.769999808,0.000396608,3.770
0.0070,0.000462709,3.769999793,0.000462709,3.770
0.0080,0.000528811,3.769999775,0.000528811,3.770
0.0090,0.000594912,3.769999756,0.000594912,3.770
0.0100,0.000661013,3.769999734,0.000661013,3.770
0.0110,0.000727115,3.769999710,0.000727115,3.770
0.0120,0.000793216,3.769999683,0.000793216,3.770
0.0130,0.000859317,3.769999654,0.000859317,3.770
0.0140,0.000925419,3.769999623,0.000925419,3.770
0.0150,0.000991520,3.769999590,0.000991520,3.770
0.0160,0.001057621,3.769999554,0.001057621,3.770
0.0170,0.001123722,3.769999516,0.001123723,3.770
0.0180,0.001189824,3.769999475,0.001189824,3.770
0.0190,0.001255925,3.769999433,0.001255925,3.770
0.0200,0.001322026,3.769999388,0.001322027,3.770
0.0210,0.001388128,3.769999340,0.001388128,3.770
0.0220,0.001454229,3.769999291,0.001454229,3.770
0.0230,0.001520330,3.769999239,0.001520331,3.770
0.0240,0.001586432,3.769999185,0.001586432,3.770
0.0250,0.001652533,3.769999128,0.001652533,3.770
0.0260,0.001718634,3.769999069,0.001718635,3.770
0.0270,0.001784736,3.769999008,0.001784736,3.770
0.0280,0.001850837,3.769998945,0.001850837,3.770
0.0290,0.001916938,3.769998879,0.001916939,3.770
0.0300,0.001983039,3.769998811,0.001983040,3.770
0.0310,0.002049141,3.769998741,0.002049141,3.770
0.0320,0.002115242,3.769998668,0.002115243,3.770
0.0330,0.002181343,3.769998593,0.002181344,3.770
0.0340,0.002247445,3.769998516,0.002247445,3.770
0.0350,0.002313546,3.769998436,0.002313547,3.770
0.0360,0.002379647,3.769998354,0.002379648,3.770
0.0370,0.002445748,3.769998270,0.002445750,3.770
0.0380,0.002511850,3.769998183,0.002511851,3.770
0.0390,0.002577951,3.769998094,0.002577952,3.770
0.0400,0.002644052,3.769998003,0.002644054,3.770
0.0410,0.002710153,3.769997910,0.002710155,3.770
0.0420,0.002776255,3.769997814,0.002776256,3.770
0.0430,0.002842356,3.769997716,0.002842358,3.770
0.0440,0.002908457,3.769997616,0.002908459,3.770
0.0450,0.002974558,3.769997513,0.002974560,3.770
0.0460,0.003040660,3.769997408,0.003040662,3.770
0.0470,0.003106761,3.769997301,0.003106763,3.770
0.0480,0.003172862,3.769997191,0.003172865,3.770
0.0490,0.003238963,3.769997079,0.003238966,3.770
0.0500,0.003305065,3.769996965,0.003305067,3.770
0.0510,0.003371166,3.769996848,0.003371169,3.770
0.0520,0.003437267,3.769996730,0.003437270,3.770
0.0530,0.003503368,3.769996608,0.003503371,3.770
0.0540,0.003569470,3.769996485,0.003569473,3.770
0.0550,0.003635571,3.769996359,0.003635574,3.770
0.0560,0.003701672,3.769996231,0.003701676,3.770
0.0570,0.003767773,3.769996101,0.003767777,3.770
0.0580,0.003833874,3.769995968,0.003833878,3.770
0.0590,0.003899975,3.769995833,0.003899980,3.770
0.0600,0.003966077,3.769995696,0.003966081,3.770
0.0610,0.004032178,3.769995556,0.004032183,3.770
0.0620,0.004098279,3.769995414,0.004098284,3.770
0.0630,0.004164380,3.769995270,0.004164385,3.770
0.0640,0.004230481,3.769995124,0.004230487,3.770
0.0650,0.004296583,3.769994975,0.004296588,3.770
0.0660,0.004362684,3.769994824,0.004362690,3.770
0.0670,0.004428785,3.769994670,0.004428791,3.770
0.0680,0.004494886,3.769994515,0.004494893,3.770
0.0690,0.004560987,3.769994357,0.004560994,3.770
0.0700,0.004627088,3.769994196,0.004627095,3.770
0.0710,0.004693189,3.769994033,0.004693197,3.770
0.0720,0.004759290,3.769993868,0.004759298,3.770
0.0730,0.004825392,3.769993701,0.004825400,3.770
0.0740,0.004891493,3.769993532,0.004891501,3.770
0.0750,0.004957594,3.769993360,0.004957603,3.770
0.0760,0.005023695,3.769993186,0.005023704,3.770
0.0770,0.005089796,3.769993009,0.005089805,3.770
0.0780,0.005155897,3.769992830,0.005155907,3.770
0.0790,0.005221998,3.769992649,0.005222008,3.770
0.0800,0.005288099,3.769992466,0.005288110,3.770
0.0810,0.005354200,3.769992280,0.005354211,3.770
0.0820,0.005420301,3.769992092,0.005420313,3.770
0.0830,0.005486402,3.769991901,0.005486414,3.770
0.0840,0.005552503,3.769991709,0.005552516,3.770
0.0850,0.005618604,3.769991514,0.005618617,3.770
0.0860,0.005684706,3.769991317,0.005684719,3.770
0.0870,0.005750807,3.769991117,0.005750820,3.770
0.0880,0.005816908,3.769990915,0.005816922,3.770
0.0890,0.005883009,3.769990711,0.005883023,3.770
0.0900,0.005949110,3.769990504,0.005949125,3.770
0.0910,0.006015211,3.769990296,0.006015226,3.770
0.0920,0.006081312,3.769990084,0.006081328,3.770
0.0930,0.006147413,3.769989871,0.006147429,3.770
0.0940,0.006213514,3.769989655,0.006213531,3.770
0.0950,0.006279614,3.769989437,0.006279632,3.770
0.0960,0.006345715,3.769989217,0.006345734,3.770
0.0970,0.006411816,3.769988994,0.006411835,3.770
0.0980,0.006477917,3.769988769,0.006477937,3.770
0.0990,0.006544018,3.769988542,0.006544038,3.770
0.1000,0.006610119,3.769988312,0.006610140,3.770
0.1010,0.006676220,3.769988080,0.006676241,3.770
0.1020,0.006742321,3.769987846,0.006742343,3.770
0.1030,0.006808422,3.769987610,0.006808444,3.770
0.1040,0.006874523,3.769987371,0.006874546,3.770
0.1050,0.006940624,3.769987130,0.006940647,3.770
0.1060,0.007006725,3.769986886,0.007006749,3.770
0.1070,0.007072825,3.769986641,0.007072851,3.770
0.1080,0.007138926,3.769986393,0.007138952,3.770
0.1090,0.007205027,3.769986142,0.007205054,3.770
0.1100,0.007271128,3.769985890,0.007271155,3.770
0.1110,0.007337229,3.769985635,0.007337257,3.770
0.1120,0.007403330,3.769985377,0.007403358,3.770
0.1130,0.007469431,3.769985118,0.007469460,3.770
0.1140,0.007535531,3.769984856,0.007535562,3.770
0.1150,0.007601632,3.769984592,0.007601663,3.770
0.1160,0.007667733,3.769984325,0.007667765,3.770
0.1170,0.007733834,3.769984056,0.007733866,3.770
0.1180,0.007799934,3.769983785,0.007799968,3.770
0.1190,0.007866035,3.769983512,0.007866070,3.770
0.1200,0.007932136,3.769983236,0.007932171,3.770
0.1210,0.007998237,3.769982958,0.007998273,3.770
0.1220,0.008064337,3.769982678,0.008064375,3.770
0.1230,0.008130438,3.769982395,0.008130476,3.770
0.1240,0.008196539,3.769982110,0.008196578,3.770
0.1250,0.008262640,3.769981823,0.008262679,3.770
0.1260,0.008328740,3.769981533,0.008328781,3.770
0.1270,0.008394841,3.769981241,0.008394883,3.770
0.1280,0.008460942,3.769980947,0.008460984,3.770
0.1290,0.008527042,3.769980651,0.008527086,3.770
0.1300,0.008593143,3.769980352,0.008593188,3.770
0.1310,0.008659244,3.769980051,0.008659289,3.770
0.1320,0.008725344,3.769979747,0.008725391,3.770
0.1330,0.008791445,3.769979442,0.008791493,3.770
0.1340,0.008857545,3.769979134,0.008857595,3.770
0.1350,0.008923646,3.769978823,0.008923696,3.770
0.1360,0.008989747,3.769978511,0.008989798,3.770
0.1370,0.009055847,3.769978196,0.009055900,3.770
0.1380,0.009121948,3.769977878,0.009122001,3.770
0.1390,0.009188048,3.769977559,0.009188103,3.770
0.1400,0.009254149,3.769977237,0.009254205,3.770
0.1410,0.009320249,3.769976913,0.009320307,3.770
0.1420,0.009386350,3.769976586,0.009386408,3.770
0.1430,0.009452450,3.769976258,0.009452510,3.770
0.1440,0.009518551,3.769975926,0.009518612,3.770
0.1450,0.009584651,3.769975593,0.009584714,3.770
0.1460,0.009650752,3.769975257,0.009650815,3.770
0.1470,0.009716852,3.769974919,0.009716917,3.770
0.1480,0.009782953,3.769974579,0.009783019,3.770
0.1490,0.009849053,3.769974236,0.009849121,3.770
0.1500,0.009915154,3.769973891,0.009915222,3.770
0.1510,0.009981254,3.769973544,0.009981324,3.770
0.1520,0.010047354,3.769973195,0.010047426,3.770
0.1530,0.010113455,3.769972843,0.010113528,3.770
0.1540,0.010179555,3.769972488,0.010179630,3.770
0.1550,0.010245656,3.769972132,0.010245731,3.770
0.1560,0.010311756,3.769971773,0.010311833,3.770
0.1570,0.010377856,3.769971412,0.010377935,3.770
0.1580,0.010443957,3.769971049,0.010444037,3.770
0.1590,0.010510057,3.769970683,0.010510139,3.770
0.1600,0.010576157,3.769970315,0.010576241,3.770
0.1610,0.010642258,3.769969945,0.010642343,3.770
0.1620,0.010708358,3.769969572,0.010708444,3.770
0.1630,0.010774458,3.769969197,0.010774546,3.770
0.1640,0.010840558,3.769968820,0.010840648,3.770
0.1650,0.010906659,3.769968440,0.010906750,3.770
0.1660,0.010972759,3.769968058,0.010972852,3.770
0.1670,0.011038859,3.769967674,0.011038954,3.770
0.1680,0.011104959,3.769967288,0.011105056,3.770
0.1690,0.011171059,3.769966899,0.011171158,3.770
0.1700,0.011237160,3.769966508,0.011237260,3.770
0.1710,0.011303260,3.769966114,0.011303361,3.770
0.1720,0.011369360,3.769965719,0.011369463,3.770
0.1730,0.011435460,3.769965321,0.011435565,3.770
0.1740,0.011501560,3.769964920,0.011501667,3.770
0.1750,0.011567660,3.769964518,0.011567769,3.770
0.1760,0.011633760,3.769964113,0.011633871,3.770
0.1770,0.011699860,3.769963705,0.011699973,3.770
0.1780,0.011765960,3.769963296,0.011766075,3.770
0.1790,0.011832060,3.769962884,0.011832177,3.770
0.1800,0.011898160,3.769962470,0.011898279,3.770
0.1810,0.011964260,3.769962053,0.011964381,3.770
0.1820,0.012030360,3.769961635,0.012030483,3.770
0.1830,0.012096460,3.769961214,0.012096585,3.770
0.1840,0.012162560,3.769960790,0.012162687,3.770
0.1850,0.012228660,3.769960364,0.012228789,3.770
0.1860,0.012294760,3.769959936,0.012294891,3.770
0.1870,0.012360860,3.769959506,0.012360993,3.770
0.1880,0.012426960,3.769959073,0.012427095,3.770
0.1890,0.012493060,3.769958639,0.012493197,3.770
0.1900,0.012559160,3.769958201,0.012559299,3.770
0.1910,0.012625260,3.769957762,0.012625401,3.770
0.1920,0.012691360,3.769957320,0.012691504,3.770
0.1930,0.012757459,3.769956876,0.012757606,3.770
0.1940,0.012823559,3.769956429,0.012823708,3.770
0.1950,0.012889659,3.769955980,0.012889810,3.770
0.1960,0.012955759,3.769955529,0.012955912,3.770
0.1970,0.013021859,3.769955076,0.013022014,3.770
0.1980,0.013087958,3.769954620,0.013088116,3.770
0.1990,0.013154058,3.769954162,0.013154218,3.770
0.2000,0.013220158,3.769953702,0.013220320,3.770
0.2010,0.013286258,3.769953239,0.013286423,3.770
0.2020,0.013352357,3.769952774,0.013352525,3.770
0.2030,0.013418457,3.769952307,0.013418627,3.770
0.2040,0.013484557,3.769951838,0.013484729,3.770
0.2050,0.013550656,3.769951366,0.013550831,3.770
0.2060,0.013616756,3.769950892,0.013616934,3.770
0.2070,0.013682855,3.769950415,0.013683036,3.770
0.2080,0.013748955,3.769949936,0.013749138,3.770
0.2090,0.013815055,3.769949455,0.013815240,3.770
0.2100,0.013881154,3.769948972,0.013881342,3.770
0.2110,0.013947254,3.769948486,0.013947445,3.770
0.2120,0.014013353,3.769947998,0.014013547,3.770
0.2130,0.014079453,3.769947508,0.014079649,3.770
0.2140,0.014145552,3.769947015,0.014145751,3.770
0.2150,0.014211652,3.769946520,0.014211854,3.770
0.2160,0.014277751,3.769946023,0.014277956,3.770
0.2170,0.014343851,3.769945524,0.014344058,3.770
0.2180,0.014409950,3.769945022,0.014410161,3.770
0.2190,0.014476049,3.769944518,0.014476263,3.770
0.2200,0.014542149,3.769944011,0.014542365,3.770
0.2210,0.014608248,3.769943502,0.014608468,3.770
0.2220,0.014674348,3.769942991,0.014674570,3.770
0.2230,0.014740447,3.769942478,0.014740672,3.770
0.2240,0.014806546,3.769941962,0.014806775,3.770
0.2250,0.014872646,3.769941444,0.014872877,3.770
0.2260,0.014938745,3.769940924,0.014938979,3.770
0.2270,0.015004844,3.769940401,0.015005082,3.770
0.2280,0.015070943,3.769939876,0.015071184,3.770
0.2290,0.015137043,3.769939349,0.015137286,3.770
0.2300,0.015203142,3.769938820,0.015203389,3.770
0.2310,0.015269241,3.769938288,0.015269491,3.770
0.2320,0.015335340,3.769937754,0.015335594,3.770
0.2330,0.015401439,3.769937217,0.015401696,3.770
0.2340,0.015467538,3.769936678,0.015467799,3.770
0.2350,0.015533637,3.769936137,0.015533901,3.770
0.2360,0.015599737,3.769935594,0.015600004,3.770
0.2370,0.015665836,3.769935048,0.015666106,3.770
0.2380,0.015731935,3.769934500,0.015732208,3.770
0.2390,0.015798034,3.769933950,0.015798311,3.770
0.2400,0.015864133,3.769933397,0.015864413,3.770
0.2410,0.015930232,3.769932842,0.015930516,3.770
0.2420,0.015996331,3.769932285,0.015996619,3.770
0.2430,0.016062430,3.769931726,0.016062721,3.770
0.2440,0.016128529,3.769931164,0.016128824,3.770
0.2450,0.016194628,3.769930600,0.016194926,3.770
0.2460,0.016260726,3.769930033,0.016261029,3.770
0.2470,0.016326825,3.769929464,0.016327131,3.770
0.2480,0.016392924,3.769928893,0.016393234,3.770
0.2490,0.016459023,3.769928320,0.016459336,3.770
0.2500,0.016525122,3.769927744,0.016525439,3.770
